CASE ID,SOURCE,DEPARTMENT,WORK GROUP,REQUEST TYPE,CATEGORY,TYPE,DETAIL,CREATION DATE,CREATION TIME,CREATION MONTH,CREATION YEAR,STATUS,EXCEEDED EST TIMEFRAME,CLOSED DATE,CLOSED MONTH,CLOSED YEAR,DAYS TO CLOSE,STREET ADDRESS,ADDRESS WITH GEOCODE,ZIP CODE,NEIGHBORHOOD,COUNTY,COUNCIL DISTRICT,POLICE DISTRICT,PARCEL ID NO,LATITUDE,LONGITUDE,CASE URL,30-60-90 Days Open Window
2020002530,PHONE,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,Streets / Roadways / Alleys,Pothole,District 3,1/7/20,12:59 PM,1,2020,RESOL,Y,2/12/20,2,2020,36,4900 E 63rd St,"4900 E 63rd St64130
(39.014495, -94.527365)",64130,Swope Parkway-Elmwood,Jackson,5,Metro,12,39.014495,-94.527365,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020002530,
2020025024,PHONE,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,Streets / Roadways / Alleys,Pothole,District 3,2/19/20,2:24 PM,2,2020,OPEN,N,,,,,7077 Elmwood Ave,"7077 Elmwood Ave64132
(39.000775, -94.5317)",64132,Lakeview Terrace,Jackson,5,Metro,35,39.000775,-94.5317,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020025024,0
2020018078,EMAIL,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,Streets / Roadways / Alleys,Pothole,District 3,2/5/20,3:55 PM,2,2020,RESOL,Y,2/25/20,2,2020,20,5600 E Gregory Blvd,"5600 E Gregory Blvd64132
(38.99584, -94.52301)",64132,,Jackson,5,Metro,44,38.99584,-94.52301,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020018078,
2020023545,WEB,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,Streets / Roadways / Alleys,Pothole,District 3,2/17/20,3:16 PM,2,2020,RESOL,Y,2/25/20,2,2020,8,5201 E Gregory Blvd,"5201 E Gregory Blvd64132
(38.990807, -94.527468)",64132,,Jackson,5,Metro,45,38.990807,-94.527468,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020023545,
2020017564,WEB,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,Streets / Roadways / Alleys,Pothole,District 3,2/4/20,4:01 PM,2,2020,RESOL,Y,2/25/20,2,2020,21,6800 E Gregory Blvd,"6800 E Gregory Blvd64133
(38.99649, -94.508613)",64133,,Jackson,5,Metro,49,38.99649,-94.508613,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020017564,
2020021408,WEB,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,Streets / Roadways / Alleys,Pothole,District 3,2/11/20,10:46 PM,2,2020,RESOL,Y,2/25/20,2,2020,14,6800 E Gregory Blvd,"6800 E Gregory Blvd64133
(38.99649, -94.508613)",64133,,Jackson,5,Metro,49,38.99649,-94.508613,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020021408,
2020010578,PHONE,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,Streets / Roadways / Alleys,Pothole,District 3,1/23/20,5:35 PM,1,2020,RESOL,Y,2/25/20,2,2020,33,6200 E Gregory Blvd,"6200 E Gregory Blvd64133
(38.995123, -94.513779)",64133,,Jackson,5,Metro,52,38.995123,-94.513779,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020010578,
2020017538,PHONE,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,Streets / Roadways / Alleys,Pothole,District 3,2/4/20,3:36 PM,2,2020,RESOL,Y,2/25/20,2,2020,21,6200 E Gregory Blvd,"6200 E Gregory Blvd64133
(38.995123, -94.513779)",64133,,Jackson,5,Metro,52,38.995123,-94.513779,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020017538,
2020021406,WEB,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,Streets / Roadways / Alleys,Pothole,District 3,2/11/20,10:45 PM,2,2020,RESOL,Y,2/25/20,2,2020,14,6200 E Gregory Blvd,"6200 E Gregory Blvd64133
(38.995123, -94.513779)",64133,,Jackson,5,Metro,52,38.995123,-94.513779,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020021406,
2020022474,PHONE,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,Streets / Roadways / Alleys,Pothole,District 3,2/13/20,3:25 PM,2,2020,RESOL,Y,2/25/20,2,2020,12,6200 E Gregory Blvd,"6200 E Gregory Blvd64133
(38.995123, -94.513779)",64133,,Jackson,5,Metro,52,38.995123,-94.513779,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020022474,
